Messzeitpunkt;Einspeisung (kWh) Strom 00100137997;Qualität Strom 00100137997;Verbrauch (kWh) Strom 00021228596;Qualität Strom 00021228596
01.08.23 00:00;0;G;0,103;G
01.08.23 00:15;0;G;0,098;G
01.08.23 00:30;0;G;0,103;G
01.08.23 00:45;0;G;0,104;G
01.08.23 01:00;0;G;0,106;G
01.08.23 01:15;0;G;0,098;G
01.08.23 01:30;0;G;0,095;G
01.08.23 01:45;0;G;0,106;G
01.08.23 02:00;0;G;0,106;G
01.08.23 02:15;0;G;0,103;G
01.08.23 02:30;0;G;0,096;G
01.08.23 02:45;0;G;0,098;G
01.08.23 03:00;0;G;0,105;G
01.08.23 03:15;0;G;0,108;G
01.08.23 03:30;0;G;0,1;G
01.08.23 03:45;0;G;0,094;G
01.08.23 04:00;0;G;0,101;G
01.08.23 04:15;0;G;0,106;G
01.08.23 04:30;0;G;0,102;G
01.08.23 04:45;0;G;0,095;G
01.08.23 05:00;0;G;0,099;G
01.08.23 05:15;0;G;0,102;G
01.08.23 05:30;0;G;0,103;G
01.08.23 05:45;0;G;0,431;G
01.08.23 06:00;0;G;0,188;G
01.08.23 06:15;0;G;0,268;G
01.08.23 06:30;0;G;0,394;G
01.08.23 06:45;0;G;0,301;G
01.08.23 07:00;0;G;0,105;G
01.08.23 07:15;0;G;0,289;G
01.08.23 07:30;0;G;0,302;G
01.08.23 07:45;0,083;G;0,086;G
01.08.23 08:00;0,006;G;0,132;G
01.08.23 08:15;0;G;0,242;G
01.08.23 08:30;0,04;G;0,194;G
01.08.23 08:45;0,026;G;0;G
01.08.23 09:00;0,001;G;0,311;G
01.08.23 09:15;0,011;G;0,27;G
01.08.23 09:30;0;G;0,247;G
01.08.23 09:45;0;G;0,27;G
01.08.23 10:00;0;G;0,1;G
01.08.23 10:15;0;G;0,059;G
01.08.23 10:30;0;G;0,045;G
01.08.23 10:45;0;G;0,035;G
01.08.23 11:00;0;G;0,188;G
01.08.23 11:15;0,063;G;0,031;G
01.08.23 11:30;0,024;G;0,023;G
01.08.23 11:45;0;G;0,435;G
01.08.23 12:00;0;G;0,177;G
01.08.23 12:15;0;G;0,16;G
01.08.23 12:30;0;G;0,148;G
01.08.23 12:45;0;G;0,162;G
01.08.23 13:00;0;G;0,133;G
01.08.23 13:15;0;G;0,136;G
01.08.23 13:30;0;G;0,144;G
01.08.23 13:45;0;G;0,144;G
01.08.23 14:00;0;G;0,102;G
01.08.23 14:15;0;G;0,095;G
01.08.23 14:30;0;G;0,071;G
01.08.23 14:45;0;G;0,079;G
01.08.23 15:00;0;G;0,12;G
01.08.23 15:15;0;G;0,164;G
01.08.23 15:30;0;G;0,158;G
01.08.23 15:45;0;G;0,152;G
01.08.23 16:00;0;G;0,152;G
01.08.23 16:15;0;G;0,18;G
01.08.23 16:30;0;G;0,201;G
01.08.23 16:45;0;G;0,187;G
01.08.23 17:00;0;G;0,171;G
01.08.23 17:15;0;G;0,184;G
01.08.23 17:30;0;G;0,768;G
01.08.23 17:45;0;G;0,829;G
01.08.23 18:00;0;G;0,78;G
01.08.23 18:15;0;G;0,563;G
01.08.23 18:30;0;G;0,424;G
01.08.23 18:45;0;G;0,269;G
01.08.23 19:00;0;G;0,357;G
01.08.23 19:15;0;G;0,433;G
01.08.23 19:30;0;G;0,406;G
01.08.23 19:45;0;G;0,227;G
01.08.23 20:00;0;G;0,451;G
01.08.23 20:15;0;G;0,424;G
01.08.23 20:30;0;G;0,173;G
01.08.23 20:45;0;G;0,165;G
01.08.23 21:00;0;G;0,167;G
01.08.23 21:15;0;G;0,164;G
